1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,
1,0,0,0,0,0,0,0,1,1,5,5,4,4,4,4,4,4,4,5,
1,0,1,1,0,1,1,0,1,1,5,5,4,5,5,4,5,5,4,5,
1,0,1,1,0,1,1,0,0,2,6,4,4,5,5,4,5,5,4,5,
1,0,0,0,0,0,0,0,1,1,5,5,4,4,4,4,4,4,4,5,
1,0,1,1,0,1,1,0,1,1,5,5,4,5,5,4,5,5,4,5,
1,0,1,1,0,1,1,0,0,2,6,4,4,5,5,4,5,5,4,5,
1,0,0,0,0,1,1,1,1,0,5,5,5,5,5,4,4,4,4,5,
1,1,1,1,0,1,1,1,1,0,5,5,5,5,5,4,5,5,5,5,
1,1,1,1,0,1,1,0,0,2,6,4,4,5,5,4,5,5,5,5,
1,1,1,1,0,1,1,0,1,1,5,5,4,5,5,4,5,5,5,5,
2,0,0,0,3,0,0,3,1,1,5,5,7,4,4,7,4,4,4,6,
9,9,9,9,A,9,9,A,9,9,D,D,E,D,D,E,D,D,D,D,
9,9,9,9,8,9,9,8,8,B,F,C,C,D,D,C,D,D,D,D,
9,9,9,9,8,9,9,8,9,9,D,D,C,D,D,C,D,D,D,D,
9,8,8,8,8,9,9,8,9,9,D,D,C,D,D,C,C,C,C,D,
9,8,9,9,8,8,8,8,8,9,D,C,C,C,C,C,D,D,C,D,
9,8,9,9,9,8,9,9,8,9,D,C,D,D,C,D,D,D,C,D,
9,8,9,9,9,8,9,9,8,9,D,C,D,D,C,D,D,D,C,D,
9,8,9,9,9,8,8,8,8,B,F,C,C,C,C,D,D,D,C,D,
9,8,8,8,8,8,9,9,8,9,D,C,D,D,C,C,C,C,C,D,
9,9,8,9,9,9,9,9,8,9,D,C,D,D,D,D,D,C,D,D,
9,9,8,9,9,9,9,9,8,9,D,C,D,D,D,D,D,C,D,D,
9,9,8,8,8,8,8,8,8,B,F,C,C,C,C,C,C,C,D,D,
9,9,9,9,9,9,9,9,9,9,D,D,D,D,D,D,D,D,D,D
